goodreads_book_id,title,genres,authors,average_rating
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","['fantasy', 'young-adult', 'adventure', 'children', 'paranormal', 'ya-fantasy', 'urban-fantasy', 'mystery', 'young-adult-fiction', 'romance', 'contemporary']","['J.K. Rowling, Mary GrandPré']",[4.54]
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","['fantasy', 'children', 'young-adult', 'paranormal', 'ya-fantasy', 'urban-fantasy', 'mystery', 'young-adult-fiction', 'classic', 'action', 'romance', 'young-adult-fantasy']","['J.K. Rowling, Mary GrandPré']",[4.46]
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","['fantasy', 'young-adult', 'children', 'adventure', 'paranormal', 'ya-fantasy', 'urban-fantasy', 'mystery', 'young-adult-fiction', 'classic', 'contemporary']","['J.K. Rowling, Mary GrandPré']",[4.44]
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","['fantasy', 'young-adult', 'adventure', 'children', 'paranormal', 'ya-fantasy', 'urban-fantasy', 'mystery', 'young-adult-fiction', 'contemporary']","['J.K. Rowling, Mary GrandPré, Rufus Beck']",[4.53]
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","['fantasy', 'young-adult', 'adventure', 'children', 'paranormal', 'ya-fantasy', 'urban-fantasy', 'mystery', 'young-adult-fiction', 'contemporary', 'classic']","['J.K. Rowling, Mary GrandPré']",[4.53]
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","['fantasy', 'young-adult', 'adventure', 'children', 'paranormal', 'urban-fantasy', 'mystery', 'humor', 'ya-fantasy', 'contemporary', 'thriller', 'classic', 'science-fiction', 'action', 'young-adult-fantasy']","['J.K. Rowling, Mary GrandPré']",[4.77]
10,"Harry Potter Collection (Harry Potter, #1-6)","['fantasy', 'young-adult', 'adventure', 'children', 'paranormal', 'urban-fantasy', 'ya-fantasy', 'mystery', 'young-adult-fiction', 'contemporary']",['J.K. Rowling'],[4.73]
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","['science-fiction', 'humor', 'fantasy', 'comedy', 'adventure', 'classic', 'young-adult', 'adult-fiction', 'science', 'speculative-fiction', 'contemporary']",['Douglas Adams'],[4.2]
13,The Ultimate Hitchhiker's Guide to the Galaxy,"['science-fiction', 'humor', 'fantasy', 'comedy', 'adventure', 'classic', 'science', 'speculative-fiction', 'young-adult', 'adult-fiction', 'contemporary', 'anthology', 'philosophy']",['Douglas Adams'],[4.37]
21,A Short History of Nearly Everything,"['non-fiction', 'science', 'humor', 'historical', 'philosophy', 'travel']",['Bill Bryson'],[4.19]
24,In a Sunburned Country,"['travel', 'non-fiction', 'humor', 'memoir', 'adventure', 'biography', 'comedy', 'contemporary']",['Bill Bryson'],[4.05]
25,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,"['humor', 'memoir', 'non-fiction', 'biography', 'travel', 'comedy', 'science', 'contemporary', 'adventure']",['Bill Bryson'],[3.89]
26,The Lost Continent: Travels in Small Town America,"['travel', 'non-fiction', 'humor', 'memoir', 'biography', 'comedy', 'adventure', 'contemporary']",['Bill Bryson'],[3.83]
27,Neither Here nor There: Travels in Europe,"['travel', 'non-fiction', 'humor', 'memoir', 'biography', 'comedy', 'adventure', 'contemporary']",['Bill Bryson'],[3.88]
28,Notes from a Small Island,"['travel', 'non-fiction', 'humor', 'memoir', 'biography', 'comedy', 'contemporary', 'adventure']",['Bill Bryson'],[3.91]
29,The Mother Tongue: English and How It Got That Way,"['non-fiction', 'humor', 'historical', 'contemporary', 'comedy', 'sociology']",['Bill Bryson'],[3.95]
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"['classic', 'fantasy', 'adventure', 'young-adult', 'epic', 'classic-literature', 'science-fiction', 'adult-fiction', 'mythology', 'war', 'children', 'action']",['J.R.R. Tolkien'],[4.59]
33,"The Lord of the Rings (The Lord of the Rings, #1-3)","['fantasy', 'classic', 'adventure', 'young-adult', 'epic', 'science-fiction', 'classic-literature', 'adult-fiction', 'speculative-fiction', 'mythology', 'war']",['J.R.R. Tolkien'],[4.47]
34,"The Fellowship of the Ring (The Lord of the Rings, #1)","['fantasy', 'classic', 'adventure', 'young-adult', 'epic', 'science-fiction', 'adult-fiction', 'classic-literature', 'speculative-fiction', 'war']",['J.R.R. Tolkien'],[4.34]
36,The Lord of the Rings: Weapons and Warfare,"['fantasy', 'non-fiction', 'war', 'science']","['Chris   Smith, Christopher Lee, Richard Taylor']",[4.53]
50,"Hatchet (Brian's Saga, #1)","['young-adult', 'adventure', 'children', 'classic', 'young-adult-fiction', 'contemporary', 'action']",['Gary Paulsen'],[3.68]
67,The Known World,"['historical-fiction', 'historical', 'literary-fiction', 'adult-fiction', 'contemporary']",['Edward P. Jones'],[3.82]
93,Heidi,"['children', 'classic', 'young-adult', 'historical-fiction', 'historical', 'classic-literature', 'family', 'adventure']","['Johanna Spyri, Angelo  Rinaldi, Beverly Cleary']",[3.97]
98,What to Expect the First Year (What to Expect),"['non-fiction', 'health', 'family', 'self-help', 'children']","['Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome']",[3.86]
105,Chapterhouse: Dune (Dune Chronicles #6),"['science-fiction', 'fantasy', 'science', 'adventure', 'speculative-fiction', 'religion', 'classic', 'politics', 'epic', 'adult-fiction', 'philosophy']",['Frank Herbert'],[3.89]
106,Dune Messiah (Dune Chronicles #2),"['fantasy', 'science-fiction', 'science', 'classic', 'speculative-fiction', 'religion', 'epic', 'adventure', 'politics', 'philosophy', 'adult-fiction']",['Frank Herbert'],[3.86]
112,Children of Dune (Dune Chronicles #3),"['science-fiction', 'fantasy', 'science', 'speculative-fiction', 'epic', 'classic', 'religion', 'politics', 'philosophy', 'adventure', 'adult-fiction']",['Frank Herbert'],[3.9]
117,Heretics of Dune (Dune Chronicles #5),"['science-fiction', 'fantasy', 'science', 'speculative-fiction', 'religion', 'adventure', 'epic', 'classic', 'philosophy', 'politics', 'adult-fiction']",['Frank Herbert'],[3.83]
119,The Lord of the Rings: The Art of The Fellowship of the Ring,"['fantasy', 'non-fiction', 'science']",['Gary Russell'],[4.59]
122,"The Power of One (The Power of One, #1)","['historical-fiction', 'historical', 'young-adult', 'drama', 'adult-fiction', 'contemporary', 'classic', 'war', 'sports', 'literary-fiction', 'non-fiction', 'adventure', 'memoir']",['Bryce Courtenay'],[4.34]
231,I am Charlotte Simmons,"['contemporary', 'literary-fiction', 'young-adult', 'adult-fiction', 'drama', 'romance']",['Tom Wolfe'],[3.4]
249,Tropic of Cancer,"['classic', 'literary-fiction', 'adult-fiction', 'memoir', 'romance', 'non-fiction', 'classic-literature', 'contemporary', 'drama']",['Henry Miller'],[3.71]
250,Tropic of Capricorn,"['classic', 'literary-fiction', 'contemporary', 'non-fiction', 'romance', 'classic-literature', 'adult-fiction', 'drama', 'biography']",['Henry Miller'],[3.85]
264,The Portrait of a Lady,"['classic', 'historical-fiction', 'classic-literature', 'romance', 'literary-fiction', 'historical', 'adult-fiction']","['Henry James, Patricia Crick']",[3.76]
275,The Lover,"['romance', 'historical-fiction', 'classic', 'memoir', 'literary-fiction', 'historical', 'contemporary', 'non-fiction', 'biography', 'adult-fiction', 'drama']","['Marguerite Duras, Barbara Bray, Maxine Hong Kingston']",[3.76]
291,The Broken Wings,"['poetry', 'philosophy', 'romance', 'spirituality', 'non-fiction', 'drama', 'classic', 'fantasy', 'religion']","['Kahlil Gibran, Anthony R. Ferris']",[3.93]
295,Treasure Island,"['adventure', 'classic', 'young-adult', 'historical-fiction', 'children', 'fantasy', 'classic-literature', 'historical', 'action', 'literary-fiction', 'thriller']",['Robert Louis Stevenson'],[3.82]
304,Daniel Deronda,"['classic', 'historical-fiction', 'romance', 'classic-literature', 'historical', 'literary-fiction', 'adult-fiction', 'religion']","['George Eliot, Edmund White']",[3.82]
320,One Hundred Years of Solitude,"['classic', 'literary-fiction', 'adult-fiction', 'contemporary', 'historical', 'classic-literature', 'romance', 'drama', 'magical-realism', 'family']","['Gabriel García Márquez, Gregory Rabassa']",[4.04]
343,Perfume: The Story of a Murderer,"['historical-fiction', 'horror', 'mystery', 'crime', 'thriller', 'historical', 'fantasy', 'classic', 'magical-realism', 'contemporary', 'gothic', 'suspense', 'drama', 'literary-fiction', 'adult-fiction', 'crime-thriller']","['Patrick Süskind, John E. Woods']",[4.0]
348,The Door Into Summer,"['science-fiction', 'fantasy', 'science', 'adventure', 'classic', 'speculative-fiction', 'travel', 'young-adult', 'romance']",['Robert A. Heinlein'],[4.0]
350,Stranger in a Strange Land,"['science-fiction', 'fantasy', 'classic', 'philosophy', 'speculative-fiction', 'science', 'religion', 'adult-fiction', 'dystopian', 'classic-literature']",['Robert A. Heinlein'],[3.91]
353,Time Enough for Love,"['science-fiction', 'fantasy', 'science', 'speculative-fiction', 'classic', 'romance', 'adventure']",['Robert A. Heinlein'],[3.96]
355,Job: A Comedy of Justice,"['science-fiction', 'fantasy', 'humor', 'religion', 'speculative-fiction', 'adventure', 'comedy', 'science', 'classic', 'urban-fantasy', 'romance', 'philosophy']",['Robert A. Heinlein'],[3.77]
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)","['fantasy', 'science-fiction', 'mystery', 'comedy', 'humor', 'urban-fantasy', 'science', 'crime', 'speculative-fiction', 'mythology', 'adventure', 'contemporary', 'adult-fiction']",['Douglas Adams'],[4.05]
